"id";"id_aluno";"E_ESC1V";"E_ESC2V";"E_PROF1V";"E_PROF2V";"E_FAM1V";"E_FAM2V";"E_COM1V";"E_COM2V";"E_COM3V";"E_EST1V";"E_EST2V";"E_EST3V";"E_ESC1C";"E_ESC2C";"E_PROF1C";"E_PROF2C";"E_FAM1C";"E_FAM2C";"E_COM1C";"E_COM2C";"E_COM3C";"E_EST1C";"E_EST2C";"E_EST3C";"created_date";"updated_date"
1;4734;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"2022-07-17 00:00:00";"2022-08-09 15:20:35.039276000"
2;17927;3.0;1.0;1.0;1.0;3.0;6.333333333333333;1.0;1.0;1.0;4.0;3.0;3.0;"1";"1";"1";"1";"1";"3";"1";"1";"1";"2";"2";"2";"2022-07-17 00:00:00";"2022-08-09 15:20:35.039276000"
3;17936;4.0;3.0;4.0;2.0;3.0;1.0;1.0;2.0;2.6666666666666665;3.0;4.0;4.666666666666667;"2";"2";"2";"1";"1";"1";"1";"1";"2";"2";"2";"3";"2022-07-17 00:00:00";"2022-08-09 15:20:35.039276000"
4;17947;4.333333333333333;3.3333333333333335;2.6666666666666665;3.0;4.333333333333333;3.3333333333333335;1.0;2.0;2.3333333333333335;4.333333333333333;3.6666666666666665;3.3333333333333335;"2";"3";"2";"2";"2";"1";"1";"1";"2";"3";"2";"3";"2022-07-17 00:00:00";"2022-08-09 15:20:35.039276000"
5;18171;2.3333333333333335;3.0;1.3333333333333333;1.6666666666666667;2.0;1.6666666666666667;3.0;1.3333333333333333;1.6666666666666667;3.3333333333333335;1.6666666666666667;5.666666666666667;"1";"2";"1";"1";"1";"1";"2";"1";"1";"2";"1";"3";"2022-07-17 00:00:00";"2022-08-09 15:20:35.039276000"
6;18172;1.0;3.0;1.0;1.0;2.6666666666666665;1.0;1.0;1.0;1.0;3.0;1.0;2.6666666666666665;"1";"2";"1";"1";"1";"1";"1";"1";"1";"2";"1";"2";"2022-07-17 00:00:00";"2022-08-09 15:20:35.039276000"
7;18175;3.0;3.0;1.0;1.0;1.6666666666666667;1.0;1.0;1.0;1.0;1.0;1.0;1.6666666666666667;"1";"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"2022-07-17 00:00:00";"2022-08-09 15:20:35.039276000"
8;18276;1.0;1.0;1.0;1.0;3.0;2.6666666666666665;1.0;2.6666666666666665;1.0;3.0;2.6666666666666665;2.6666666666666665;"1";"1";"1";"1";"1";"1";"1";"2";"1";"2";"2";"2";"2022-07-17 00:00:00";"2022-08-09 15:20:35.039276000"
9;18916;1.6666666666666667;1.0;1.0;1.0;3.6666666666666665;3.0;1.0;3.0;1.0;3.0;1.0;2.0;"1";"1";"1";"1";"2";"1";"1";"2";"1";"2";"1";"1";"2022-07-17 00:00:00";"2022-08-09 15:20:35.039276000"
10;18920;2.0;1.0;1.3333333333333333;2.3333333333333335;5.666666666666667;1.0;1.0;4.666666666666667;2.0;3.0;1.0;2.0;"1";"1";"1";"1";"3";"1";"1";"3";"1";"2";"1";"1";"2022-07-17 00:00:00";"2022-08-09 15:20:35.039276000"
