id,quantidade fatores baixos
4734,12
17927,12
19211,12
19209,12
19185,12
18172,12
18175,12
18276,12
18916,12
19184,12
19182,12
18931,12
18929,12
18928,12
18930,12
19199,12
19196,12
19194,12
19190,12
19183,12
19180,12
19178,12
18999,12
19175,12
19139,12
19146,12
19141,11
19150,11
19152,11
17936,11
18993,11
18171,11
18920,11
18922,11
18934,11
18935,11
19212,10
19176,10
19210,10
18949,10
19193,10
19197,10
19201,10
18923,10
18925,10
19202,9
18946,9
17947,9
18994,9
19010,9
19174,9
19186,9
18917,8
19203,8
19208,8
19189,8
19195,8
18927,7
18936,7
18938,7
18918,5
