codmunicipio,percentual
1100049,0
1100056,
1100072,
1100098,
1100106,
1100122,
1100155,
1100205,
1100288,18
1100304,
1100320,1
1100338,
1100379,
1100452,32
1100940,
1101104,
1101500,22
1200104,18
1200179,
1200203,18
1200252,
1200351,5
1200427,
1200500,
1200609,60
1300086,
1301902,3
1302207,
1302405,
1302504,
1302553,
1302603,
1302900,
1303403,
1303502,
1304062,
1304203,10
1304260,
1304302,
1400050,
1400100,0
1400159,
1400175,
1400209,
1400233,18
1400282,
1400308,
1400407,
1400456,
1400472,
1400506,
1400704,
1500206,
1500305,
1500347,
1500503,
1500602,
1500701,
1500909,
1500958,51
1501204,
1501402,1
1501451,18
1501600,
1501709,
1501725,55
1501758,
1501782,
1501808,18
1501907,
1501956,
1502202,48
1502301,10
1502400,
1502707,
1502764,
1502772,
1502905,
1502954,11
1503044,
1503077,
1503093,35
1503101,
1503309,39
1503457,2
1503507,
1503606,13
1503705,8
1503804,
1503903,
1504059,36
1504406,2
1504422,
1504455,25
1504604,
1504703,
1504752,
1504802,
1504901,0
1504950,
1505031,
1505106,6
1505205,8
1505304,42
1505403,
1505437,
1505486,
1505494,53
1505502,54
1505536,
1505601,
1505650,47
1506005,
1506138,
1506161,16
1506187,0
1506203,
1506500,
1506583,
1506708,0
1506807,
1506906,
1507201,50
1507300,22
1507458,15
1507466,
1507474,25
1507607,2
1507706,
1507755,
1507805,
1507904,38
1507953,
1507961,
1507979,37
1508084,
1508126,8
1508357,2
1508407,13
1600279,64
1600600,
1600808,
1700251,
1700350,
1700400,41
1701002,
1701101,
1701309,
1701903,
1702000,
1702109,
1702208,45
1702307,
1702406,
1702554,
1702901,
1703008,
1703057,
1703206,76
1703602,
1703701,
1703842,
1703867,
1703883,
1704600,
1705508,0
1705557,71
1705607,
1706100,
1706506,
1707009,
1707108,
1707207,
1707306,
1707405,
1707702,37
1708205,
1709005,5
1709302,76
1709500,
1709807,
1710706,
1710904,
1711506,
1711803,
1712009,
1712405,86
1712504,
1712702,
1712801,
1713205,64
1713304,
1713601,
1713957,
1715002,
1715101,34
1715705,
1715754,
1716109,
1716208,
1716307,8
1716604,
1716653,
1716703,
1717206,
1717503,
1717800,
1718006,
1718204,
1718303,
1718402,
1718451,
1718550,
1718758,
1718808,
1718881,
1718899,
1718907,
1719004,
1720002,6
1720150,85
1720200,
1720259,
1720499,
1720655,
1720804,
1720903,
1720937,
1721000,
1721109,87
1721208,
1721257,
1721307,
1722107,
2100055,12
2100105,
2100436,
2100501,64
2100600,
2100709,
2100832,
2101103,
2101202,6
2101301,
2101350,
2101400,
2101509,
2101608,
2101772,
2102036,6
2102150,
2102325,
2102358,
2102705,
2102804,
2103000,
2103158,
2103208,
2103257,
2103307,
2103406,8
2103604,
2103802,
2103901,
2104057,
2104073,
2104107,
2104503,
2104651,
2104677,
2104800,
2105153,
2105203,
2105302,46
2105401,
2105476,
2105807,47
2105906,
2105948,
2105963,
2106102,
2106904,
2107357,
2108207,
2108306,20
2108454,
2109007,
2109106,
2109205,51
2109239,
2109502,50
2109601,
2109908,
2110039,
2110203,
2110401,
2110500,
2110906,
2111029,
2111078,
2111102,
2111300,
2111409,47
2111607,
2111763,
2111904,
2112100,
2112209,
2112233,4
2112308,
2112704,
2112902,
2113009,
2200053,
2200103,
2200202,
2200251,
2200277,68
2200400,
2200459,
2200509,
2201051,
2201101,
2201176,
2201200,
2201572,15
2201945,
2201960,
2202000,52
2202091,0
2202109,
2202133,
2202174,8
2202208,
2202307,
2202406,
2202539,
2202604,
2202653,
2202703,
2202729,
2202737,34
2202802,55
2203008,33
2203107,
2203206,
2203230,
2203255,6
2203420,
2203503,
2203602,
2203701,
2203750,
2203800,
2203909,
2204006,
2204154,
2204501,
2204550,1
2204600,13
2204808,
2204907,87
2205003,
2205151,
2205201,
2205409,
2205458,
2205508,
2205516,
2205557,25
2205573,
2205599,
2205706,
2205805,3
2206050,
2206100,
2206308,
2206407,58
2206506,34
2206605,
2206654,
2206670,
2206720,
2206902,
2206951,
2207009,13
2207108,
2207355,41
2207405,
2207504,
2207777,
2207793,
2207801,
2207959,
2208007,
2208106,
2208304,
2208403,
2208650,3
2208809,
2209005,
2209104,
2209203,
2209351,29
2209401,
2209500,
2209658,
2209708,
2209906,
2209955,3
2210003,7
2210052,3
2210508,
2210656,1
2210706,
2210805,18
2210938,
2210953,
2211001,
2211100,7
2211209,72
2211308,
2211605,
2300309,
2300408,16
2300705,
2300754,
2300903,
2301000,
2301109,73
2301257,4
2301406,
2301851,
2301901,
2302008,
2302107,
2302206,
2302305,14
2302404,
2302503,
2302602,
2302800,8
2303105,
2303501,
2303659,
2303709,
2303808,
2303931,
2303956,
2304202,
2304236,
